id,value
id_333,13
id_334,4
id_335,9
id_336,15
id_337,23
id_338,23
id_339,18
id_340,10
id_341,4
id_342,13
id_343,14
id_344,18
id_345,20
id_346,25
id_347,24
id_348,14
id_349,15
id_350,22
id_351,24
id_352,16
id_353,7
id_354,7
id_355,6
id_356,5
id_357,2
id_358,17
id_359,15
id_360,33
id_361,25
id_362,30
id_363,15
id_364,20
id_365,30
id_366,41
id_367,38
id_368,34
id_369,27
id_370,26
id_371,27
id_372,22
id_373,28
id_374,29
id_375,27
id_376,25
id_377,22
id_378,23
id_379,22
id_380,22
id_381,23
id_382,11
id_383,2
id_384,18
id_385,31
id_386,36
id_387,22
id_388,22
id_389,16
id_390,20
id_391,16
id_392,34
id_393,32
id_394,27
id_395,17
id_396,22
id_397,24
id_398,17
id_399,17
id_400,26
id_401,25
id_402,24
id_403,10
id_404,7
id_405,11
id_406,16
id_407,19
id_408,9
id_409,8
id_410,6
id_411,32
id_412,50
id_413,81
id_414,90
id_415,109
id_416,109
id_417,105
id_418,102
id_419,106
id_420,107
id_421,92
id_422,80
id_423,64
id_424,52
id_425,36
id_426,41
id_427,46
id_428,48
id_429,38
id_430,21
id_431,11
id_432,11
id_433,40
id_434,64
id_435,75
id_436,62
id_437,50
id_438,57
id_439,66
id_440,72
id_441,77
id_442,72
id_443,75
id_444,72
id_445,69
id_446,62
id_447,61
id_448,59
id_449,60
id_450,48
id_451,53
id_452,60
id_453,66
id_454,53
id_455,55
id_456,21
id_457,32
id_458,30
id_459,36
id_460,26
id_461,21
id_462,19
id_463,19
id_464,19
id_465,18
id_466,27
id_467,37
id_468,39
id_469,31
id_470,25
id_471,22
id_472,20
id_473,13
id_474,8
id_475,15
id_476,13
id_477,22
id_478,19
id_479,23
id_480,15
id_481,17
id_482,13
id_483,21
id_484,22
id_485,33
id_486,28
id_487,25
id_488,21
id_489,23
id_490,27
id_491,29
id_492,30
id_493,31
id_494,29
id_495,31
id_496,26
id_497,17
id_498,13
id_499,18
id_500,29
id_501,22
id_502,21
id_503,23
id_504,34
id_505,32
id_506,24
id_507,23
id_508,28
id_509,30
id_510,32
id_511,24
id_512,27
id_513,17
id_514,20
id_515,20
id_516,29
id_517,25
id_518,25
id_519,22
id_520,27
id_521,22
id_522,31
id_523,32
id_524,35
id_525,25
id_526,14
id_527,7
id_528,0
id_529,2
id_530,7
id_531,11
id_532,7
id_533,8
id_534,12
id_535,15
id_536,17
id_537,9
id_538,11
id_539,5
id_540,7
id_541,5
id_542,9
id_543,6
id_544,6
id_545,4
id_546,4
id_547,0
id_548,0
id_549,0
id_550,2
id_551,2
id_552,2
id_553,8
id_554,8
id_555,8
id_556,20
id_557,28
id_558,36
id_559,23
id_560,21
id_561,25
id_562,16
id_563,19
id_564,17
id_565,18
id_566,12
id_567,13
id_568,22
id_569,29
id_570,21
id_571,21
id_572,14
id_573,16
id_574,6
id_575,11
id_576,10
id_577,14
id_578,8
id_579,23
id_580,21
id_581,29
id_582,29
id_583,34
id_584,39
id_585,40
id_586,52
id_587,50
id_588,50
id_589,40
id_590,43
id_591,46
id_592,44
id_593,38
id_594,36
id_595,23
id_596,19
id_597,7
id_598,21
id_599,20
id_600,25
id_601,16
id_602,18
id_603,20
id_604,25
id_605,24
id_606,25
id_607,27
id_608,24
id_609,23
id_610,20
id_611,28
id_612,41
id_613,34
id_614,39
id_615,32
id_616,35
id_617,25
id_618,13
id_619,12
id_620,7
id_621,7
id_622,6
id_623,7
id_624,9
id_625,6
id_626,6
id_627,4
id_628,6
id_629,7
id_630,15
id_631,12
id_632,7
id_633,0
id_634,3
id_635,5
id_636,9
id_637,4
id_638,8
id_639,4
id_640,6
id_641,0
id_642,0
id_643,0
id_644,7
id_645,7
id_646,5
id_647,7
id_648,10
id_649,10
id_650,3
id_651,0
id_652,0
id_653,11
id_654,12
id_655,12
id_656,2
id_657,6
id_658,6
id_659,4
id_660,0
id_661,1
id_662,0
id_663,0
id_664,0
id_665,4
id_666,4
id_667,8
id_668,9
id_669,13
id_670,10
id_671,4
id_672,0
id_673,5
id_674,5
id_675,5
id_676,4
id_677,3
id_678,11
id_679,7
id_680,15
id_681,8
id_682,19
id_683,10
id_684,9
id_685,3
id_686,3
id_687,4
id_688,0
id_689,2
id_690,1
id_691,11
id_692,13
id_693,13
id_694,15
id_695,17
id_696,23
id_697,20
id_698,15
id_699,12
id_700,9
id_701,6
id_702,4
id_703,4
id_704,6
id_705,6
id_706,7
id_707,8
id_708,8
id_709,13
id_710,4
id_711,12
id_712,7
id_713,7
id_714,1
id_715,0
id_716,0
id_717,1
id_718,4
id_719,6
id_720,4
id_721,1
id_722,6
id_723,9
id_724,9
id_725,6
id_726,14
id_727,14
id_728,78
id_729,45
id_730,37
id_731,13
id_732,12
id_733,5
id_734,11
id_735,8
id_736,8
id_737,4
id_738,10
id_739,10
id_740,5
id_741,1
id_742,3
id_743,4
id_744,1
id_745,0
id_746,4
id_747,10
id_748,10
id_749,17
id_750,14
id_751,19
id_752,11
id_753,16
id_754,21
id_755,21
id_756,21
id_757,19
id_758,19
id_759,11
id_760,6
id_761,1
id_762,1
id_763,10
id_764,16
id_765,19
id_766,7
id_767,4
id_768,6
id_769,16
id_770,13
id_771,9
id_772,6
id_773,14
id_774,18
id_775,17
id_776,14
id_777,18
id_778,22
id_779,32
id_780,31
id_781,29
id_782,25
id_783,26
id_784,17
id_785,7
id_786,1
id_787,1
id_788,2
id_789,5
id_790,6
id_791,8
id_792,3
id_793,5
id_794,17
id_795,19
id_796,22
id_797,10
id_798,19
id_799,19
id_800,19
id_801,17
id_802,19
id_803,26
id_804,26
id_805,37
id_806,38
id_807,46
id_808,38
id_809,34
id_810,27
id_811,21
id_812,25
id_813,25
id_814,23
id_815,21
id_816,21
id_817,22
id_818,23
id_819,26
id_820,30
id_821,42
id_822,49
id_823,52
id_824,51
id_825,50
id_826,48
id_827,51
id_828,49
id_829,52
id_830,46
id_831,42
id_832,39
id_833,29
id_834,35
id_835,32
id_836,38
id_837,23
id_838,21
id_839,13
id_840,19
id_841,14
id_842,14
id_843,9
id_844,21
id_845,21
id_846,34
id_847,31
id_848,33
id_849,25
id_850,25
id_851,24
id_852,34
id_853,48
id_854,62
id_855,65
id_856,61
id_857,57
id_858,46
id_859,27
id_860,14
id_861,5
id_862,4
id_863,11
id_864,21
id_865,36
id_866,35
id_867,54
id_868,54
id_869,59
id_870,47
id_871,49
id_872,43
id_873,35
id_874,18
id_875,9
id_876,0
id_877,0
id_878,1
id_879,2
id_880,2
id_881,0
id_882,0
id_883,0
id_884,5
id_885,5
id_886,10
id_887,10
id_888,10
id_889,6
id_890,0
id_891,0
id_892,0
id_893,0
id_894,0
id_895,0
id_896,0
id_897,7
id_898,7
id_899,9
id_900,7
id_901,12
id_902,23
id_903,27
id_904,25
id_905,16
id_906,12
id_907,10
id_908,9
id_909,12
id_910,11
id_911,16
id_912,32
id_913,37
id_914,34
id_915,30
id_916,40
id_917,39
id_918,35
id_919,30
id_920,31
id_921,35
id_922,33
id_923,37
id_924,43
id_925,47
id_926,51
id_927,51
id_928,62
id_929,61
id_930,47
id_931,21
id_932,2
id_933,0
id_934,2
id_935,2
id_936,2
id_937,1
id_938,1
id_939,4
id_940,7
id_941,9
id_942,8
id_943,5
id_944,11
id_945,15
id_946,16
id_947,16
id_948,14
id_949,11
id_950,3
id_951,0
id_952,2
id_953,3
id_954,3
id_955,0
id_956,1
id_957,1
id_958,7
id_959,10
id_960,18
id_961,25
id_962,32
id_963,35
id_964,24
id_965,11
id_966,9
id_967,19
id_968,23
id_969,22
id_970,18
id_971,18
id_972,13
id_973,13
id_974,21
id_975,24
id_976,26
id_977,19
id_978,20
id_979,20
id_980,22
id_981,26
id_982,29
id_983,37
id_984,37
id_985,39
id_986,38
id_987,41
id_988,47
id_989,52
id_990,56
id_991,60
id_992,60
id_993,59
id_994,49
id_995,32
id_996,24
id_997,21
id_998,34
id_999,28
id_1000,19
id_1001,9
id_1002,3
id_1003,2
id_1004,1
id_1005,5
id_1006,5
id_1007,6
id_1008,7
id_1009,7
id_1010,9
id_1011,3
id_1012,3
id_1013,2
id_1014,4
id_1015,5
id_1016,4
id_1017,10
id_1018,18
id_1019,17
id_1020,17
id_1021,9
id_1022,13
id_1023,5
id_1024,9
id_1025,2
id_1026,4
id_1027,0
id_1028,0
id_1029,0
id_1030,6
id_1031,8
id_1032,14
id_1033,16
id_1034,16
id_1035,24
id_1036,20
id_1037,24
id_1038,29
id_1039,41
id_1040,32
id_1041,23
id_1042,10
id_1043,6
id_1044,1
id_1045,0
id_1046,1
id_1047,4
id_1048,7
id_1049,10
id_1050,8
id_1051,5
id_1052,0
id_1053,0
id_1054,0
id_1055,0
id_1056,0
id_1057,0
id_1058,0
id_1059,13
id_1060,15
id_1061,21
id_1062,15
id_1063,18
id_1064,19
id_1065,20
id_1066,24
id_1067,17
id_1068,21
id_1069,21
id_1070,29
id_1071,23
id_1072,21
id_1073,20
id_1074,18
id_1075,26
id_1076,20
id_1077,21
id_1078,9
id_1079,8
id_1080,18
id_1081,28
id_1082,37
id_1083,21
id_1084,9
id_1085,2
id_1086,6
id_1087,11
id_1088,18
id_1089,18
id_1090,12
id_1091,2
id_1092,0
id_1093,0
id_1094,0
id_1095,4
id_1096,4
id_1097,6
id_1098,1
id_1099,1
id_1100,0
id_1101,0
id_1102,0
id_1103,0
id_1104,0
id_1105,0
id_1106,1
id_1107,9
id_1108,15
id_1109,13
id_1110,8
id_1111,6
id_1112,11
id_1113,14
id_1114,19
id_1115,14
id_1116,10
id_1117,6
id_1118,10
id_1119,9
id_1120,4
id_1121,4
id_1122,7
id_1123,7
id_1124,4
id_1125,1
id_1126,14
id_1127,24
id_1128,31
id_1129,31
id_1130,31
id_1131,33
id_1132,36
id_1133,51
id_1134,70
id_1135,86
id_1136,86
id_1137,74
id_1138,70
id_1139,77
id_1140,85
id_1141,78
id_1142,68
id_1143,62
id_1144,63
id_1145,64
id_1146,61
id_1147,57
id_1148,43
id_1149,34
id_1150,26
id_1151,26
id_1152,36
id_1153,53
id_1154,54
id_1155,59
id_1156,61
id_1157,69
id_1158,66
id_1159,66
id_1160,73
id_1161,71
id_1162,60
id_1163,44
id_1164,45
id_1165,44
id_1166,49
id_1167,46
id_1168,46
id_1169,37
id_1170,28
id_1171,32
id_1172,42
id_1173,42
id_1174,49
id_1175,57
id_1176,80
id_1177,93
id_1178,75
id_1179,54
id_1180,28
id_1181,31
id_1182,47
id_1183,69
id_1184,97
id_1185,98
id_1186,94
id_1187,85
id_1188,68
id_1189,49
id_1190,16
id_1191,6
id_1192,5
id_1193,18
id_1194,19
id_1195,14
id_1196,7
id_1197,7
id_1198,13
id_1199,7
id_1200,5
id_1201,3
id_1202,4
id_1203,7
id_1204,6
id_1205,6
id_1206,3
id_1207,1
id_1208,0
id_1209,0
id_1210,0
id_1211,5
id_1212,10
id_1213,10
id_1214,8
id_1215,7
id_1216,19
id_1217,23
id_1218,34
id_1219,34
id_1220,41
id_1221,39
id_1222,40
id_1223,48
id_1224,47
id_1225,44
id_1226,34
id_1227,40
id_1228,42
id_1229,48
id_1230,39
id_1231,37
id_1232,28
id_1233,36
id_1234,41
id_1235,36
id_1236,24
id_1237,19
id_1238,34
id_1239,36
id_1240,37
id_1241,37
id_1242,40
id_1243,47
id_1244,48
id_1245,62
id_1246,72
id_1247,76
id_1248,78
id_1249,70
id_1250,62
id_1251,49
id_1252,47
id_1253,52
id_1254,62
id_1255,59
id_1256,59
id_1257,61
id_1258,68
id_1259,69
id_1260,57
id_1261,49
id_1262,45
id_1263,58
id_1264,54
id_1265,52
id_1266,43
id_1267,39
id_1268,27
id_1269,27
id_1270,36
id_1271,56
id_1272,62
id_1273,65
id_1274,62
id_1275,70
id_1276,67
id_1277,67
id_1278,62
id_1279,61
id_1280,60
id_1281,54
id_1282,61
id_1283,61
id_1284,61
id_1285,47
id_1286,45
id_1287,27
id_1288,16
id_1289,8
id_1290,15
id_1291,21
id_1292,27
id_1293,25
id_1294,34
id_1295,34
id_1296,45
id_1297,55
id_1298,61
id_1299,70
id_1300,76
id_1301,71
id_1302,56
id_1303,43
id_1304,51
id_1305,51
id_1306,52
id_1307,45
id_1308,48
id_1309,40
id_1310,34
id_1311,26
id_1312,25
id_1313,21
id_1314,16
id_1315,19
id_1316,18
id_1317,16
id_1318,4
id_1319,13
id_1320,29
id_1321,49
id_1322,49
id_1323,57
id_1324,51
id_1325,44
id_1326,42
id_1327,48
id_1328,50
id_1329,44
id_1330,40
id_1331,45
id_1332,44
id_1333,43
id_1334,34
id_1335,40
id_1336,44
id_1337,46
id_1338,44
id_1339,43
id_1340,51
id_1341,53
id_1342,50
id_1343,51
id_1344,57
id_1345,71
id_1346,64
id_1347,62
id_1348,51
id_1349,52
id_1350,47
id_1351,53
id_1352,59
id_1353,73
id_1354,74
id_1355,83
id_1356,82
id_1357,70
id_1358,51
id_1359,23
id_1360,22
id_1361,51
id_1362,51
id_1363,51
id_1364,51
id_1365,50
id_1366,40
id_1367,46
id_1368,6
id_1369,-1
id_1370,16
id_1371,18
id_1372,24
id_1373,21
id_1374,20
id_1375,16
id_1376,17
id_1377,21
id_1378,27
id_1379,22
id_1380,22
id_1381,14
id_1382,15
id_1383,17
id_1384,16
id_1385,11
id_1386,3
id_1387,0
id_1388,0
id_1389,1
id_1390,1
id_1391,1
id_1392,0
id_1393,8
id_1394,15
id_1395,26
id_1396,24
id_1397,29
id_1398,33
id_1399,38
id_1400,41
id_1401,36
id_1402,41
id_1403,33
id_1404,37
id_1405,31
id_1406,39
id_1407,50
id_1408,45
id_1409,29
id_1410,4
id_1411,0
id_1412,13
id_1413,24
id_1414,28
id_1415,27
id_1416,28
id_1417,37
id_1418,37
id_1419,42
id_1420,38
id_1421,49
id_1422,54
id_1423,66
id_1424,68
id_1425,56
id_1426,46
id_1427,32
id_1428,36
id_1429,33
id_1430,22
id_1431,9
id_1432,3
id_1433,8
id_1434,20
id_1435,19
id_1436,23
id_1437,16
id_1438,19
id_1439,19
id_1440,23
id_1441,18
id_1442,14
id_1443,6
id_1444,21
id_1445,28
id_1446,39
id_1447,30
id_1448,31
id_1449,39
id_1450,52
id_1451,49
id_1452,33
id_1453,24
id_1454,24
id_1455,29
id_1456,36
id_1457,39
id_1458,41
id_1459,41
id_1460,40
id_1461,42
id_1462,46
id_1463,54
id_1464,59
id_1465,57
id_1466,60
id_1467,64
id_1468,66
id_1469,58
id_1470,44
id_1471,35
id_1472,36
id_1473,37
id_1474,45
id_1475,44
id_1476,47
id_1477,42
id_1478,41
id_1479,41
id_1480,38
id_1481,31
id_1482,22
id_1483,21
id_1484,19
id_1485,16
id_1486,22
id_1487,29
id_1488,41
id_1489,49
id_1490,61
id_1491,72
id_1492,71
id_1493,72
id_1494,62
id_1495,68
id_1496,61
id_1497,57
id_1498,48
id_1499,54
id_1500,61
id_1501,62
id_1502,58
id_1503,57
id_1504,57
id_1505,60
id_1506,57
id_1507,52
id_1508,54
id_1509,53
id_1510,51
id_1511,45
id_1512,35
id_1513,21
id_1514,6
id_1515,0
id_1516,5
id_1517,14
id_1518,16
id_1519,14
id_1520,4
id_1521,8
id_1522,14
id_1523,16
id_1524,14
id_1525,11
id_1526,11
id_1527,15
id_1528,9
id_1529,13
id_1530,6
id_1531,9
id_1532,8
id_1533,7
id_1534,8
id_1535,13
id_1536,13
id_1537,-1
id_1538,16
id_1539,19
id_1540,30
id_1541,35
id_1542,24
id_1543,21
id_1544,17
id_1545,26
id_1546,24
id_1547,25
id_1548,26
id_1549,21
id_1550,16
id_1551,16
id_1552,19
id_1553,12
id_1554,12
id_1555,9
id_1556,20
id_1557,23
id_1558,27
id_1559,28
id_1560,35
id_1561,50
id_1562,52
id_1563,39
id_1564,22
id_1565,26
id_1566,26
id_1567,44
id_1568,39
id_1569,38
id_1570,28
id_1571,24
id_1572,27
id_1573,26
id_1574,19
id_1575,13
id_1576,16
id_1577,23
id_1578,27
id_1579,19
id_1580,17
id_1581,16
id_1582,14
id_1583,12
id_1584,12
id_1585,21
id_1586,23
id_1587,25
id_1588,21
id_1589,28
id_1590,17
id_1591,21
id_1592,23
id_1593,27
id_1594,19
id_1595,10
id_1596,14
id_1597,19
id_1598,26
id_1599,27
id_1600,28
id_1601,29
id_1602,30
id_1603,31
id_1604,35
id_1605,43
id_1606,54
id_1607,54
id_1608,59
id_1609,68
id_1610,70
id_1611,67
id_1612,55
id_1613,46
id_1614,39
id_1615,39
id_1616,39
id_1617,41
id_1618,32
id_1619,34
id_1620,34
id_1621,39
id_1622,33
id_1623,29
id_1624,31
id_1625,30
id_1626,29
id_1627,24
id_1628,24
id_1629,27
id_1630,33
id_1631,40
id_1632,43
id_1633,37
id_1634,37
id_1635,32
id_1636,31
id_1637,25
id_1638,33
id_1639,36
id_1640,41
id_1641,37
id_1642,31
id_1643,32
id_1644,29
id_1645,23
id_1646,25
id_1647,26
id_1648,39
id_1649,39
id_1650,37
id_1651,36
id_1652,29
id_1653,34
id_1654,33
id_1655,36
id_1656,34
id_1657,26
id_1658,23
id_1659,21
id_1660,30
id_1661,25
id_1662,31
id_1663,27
id_1664,31
id_1665,19
id_1666,16
id_1667,12
id_1668,22
id_1669,24
id_1670,39
id_1671,37
id_1672,42
id_1673,26
id_1674,22
id_1675,11
id_1676,14
id_1677,11
id_1678,19
id_1679,21
id_1680,24
id_1681,14
id_1682,9
id_1683,2
id_1684,6
id_1685,9
id_1686,20
id_1687,25
id_1688,29
id_1689,25
id_1690,22
id_1691,16
id_1692,10
id_1693,15
id_1694,22
id_1695,22
id_1696,19
id_1697,15
id_1698,24
id_1699,29
id_1700,34
id_1701,33
id_1702,34
id_1703,35
id_1704,41
id_1705,42
id_1706,50
id_1707,55
id_1708,56
id_1709,55
id_1710,-1
id_1711,48
id_1712,45
id_1713,35
id_1714,38
id_1715,48
id_1716,44
id_1717,32
id_1718,17
id_1719,22
id_1720,23
id_1721,30
id_1722,25
id_1723,25
id_1724,17
id_1725,17
id_1726,25
id_1727,32
id_1728,33
id_1729,34
id_1730,31
id_1731,38
id_1732,42
id_1733,46
id_1734,44
id_1735,38
id_1736,43
id_1737,48
id_1738,49
id_1739,50
id_1740,42
id_1741,38
id_1742,29
id_1743,23
id_1744,21
id_1745,24
id_1746,29
id_1747,31
id_1748,29
id_1749,22
id_1750,19
id_1751,14
id_1752,15
id_1753,16
id_1754,21
id_1755,24
id_1756,32
id_1757,29
id_1758,30
id_1759,22
id_1760,26
id_1761,31
id_1762,33
id_1763,33
id_1764,19
id_1765,19
id_1766,20
id_1767,31
id_1768,20
id_1769,20
id_1770,20
id_1771,20
id_1772,20
id_1773,16
id_1774,17
id_1775,28
id_1776,33
id_1777,35
id_1778,30
id_1779,24
id_1780,24
id_1781,23
id_1782,28
id_1783,39
id_1784,35
id_1785,34
id_1786,19
id_1787,23
id_1788,21
id_1789,22
id_1790,13
id_1791,17
id_1792,23
id_1793,31
id_1794,24
id_1795,21
id_1796,26
id_1797,29
id_1798,35
id_1799,31
id_1800,41
id_1801,45
id_1802,52
id_1803,46
id_1804,44
id_1805,40
id_1806,41
id_1807,42
id_1808,40
id_1809,40
id_1810,23
id_1811,21
id_1812,14
id_1813,26
id_1814,21
id_1815,27
id_1816,22
id_1817,33
id_1818,31
id_1819,23
id_1820,16
id_1821,21
id_1822,29
id_1823,30
id_1824,29
id_1825,29
id_1826,36
id_1827,32
id_1828,41
id_1829,36
id_1830,33
id_1831,28
id_1832,22
id_1833,18
id_1834,10
id_1835,13
id_1836,8
id_1837,10
id_1838,4
id_1839,5
id_1840,9
id_1841,9
id_1842,9
id_1843,9
id_1844,9
id_1845,4
id_1846,0
id_1847,0
id_1848,11
id_1849,11
id_1850,19
id_1851,22
id_1852,28
id_1853,31
id_1854,34
id_1855,36
id_1856,25
id_1857,12
id_1858,4
id_1859,6
id_1860,11
id_1861,18
id_1862,21
id_1863,10
id_1864,9
id_1865,8
id_1866,14
id_1867,13
id_1868,13
id_1869,7
id_1870,2
id_1871,2
id_1872,7
id_1873,13
id_1874,26
id_1875,46
id_1876,60
id_1877,57
id_1878,51
id_1879,42
id_1880,36
id_1881,32
id_1882,23
id_1883,28
id_1884,20
id_1885,24
id_1886,19
id_1887,21
id_1888,20
id_1889,12
id_1890,3
id_1891,7
id_1892,7
id_1893,10
id_1894,12
id_1895,12
id_1896,10
id_1897,8
id_1898,20
id_1899,38
id_1900,36
id_1901,33
id_1902,24
id_1903,19
id_1904,25
id_1905,26
id_1906,38
id_1907,29
id_1908,30
id_1909,16
id_1910,14
id_1911,11
id_1912,14
id_1913,10
id_1914,4
id_1915,4
id_1916,11
id_1917,11
id_1918,5
id_1919,-1
id_1920,-1
id_1921,-1
id_1922,-1
id_1923,-1
id_1924,-1
id_1925,1
id_1926,3
id_1927,3
id_1928,5
id_1929,4
id_1930,7
id_1931,2
id_1932,2
id_1933,2
id_1934,2
id_1935,2
id_1936,-1
id_1937,-1
id_1938,-1
id_1939,4
id_1940,7
id_1941,14
id_1942,8
id_1943,5
id_1944,-1
id_1945,0
id_1946,7
id_1947,16
id_1948,15
id_1949,9
id_1950,3
id_1951,14
id_1952,13
id_1953,10
id_1954,-1
id_1955,-1
id_1956,-1
id_1957,9
id_1958,9
id_1959,9
id_1960,-1
id_1961,-1
id_1962,-1
id_1963,-1
id_1964,-1
id_1965,-1
id_1966,-1
id_1967,-1
id_1968,-1
id_1969,-1
id_1970,-1
id_1971,2
id_1972,9
id_1973,9
id_1974,15
id_1975,15
id_1976,9
id_1977,19
id_1978,17
id_1979,24
id_1980,19
id_1981,21
id_1982,14
id_1983,10
id_1984,3
id_1985,9
id_1986,15
id_1987,23
id_1988,17
id_1989,11
id_1990,9
id_1991,8
id_1992,6
id_1993,0
id_1994,11
id_1995,18
id_1996,25
id_1997,20
id_1998,23
id_1999,23
id_2000,17
id_2001,18
id_2002,14
id_2003,16
id_2004,14
id_2005,9
id_2006,6
id_2007,5
id_2008,6
id_2009,5
id_2010,0
id_2011,0
id_2012,9
id_2013,33
id_2014,39
id_2015,44
id_2016,34
id_2017,39
id_2018,31
id_2019,16
id_2020,24
id_2021,32
id_2022,57
id_2023,59
id_2024,57
id_2025,39
id_2026,27
id_2027,26
id_2028,38
id_2029,42
id_2030,44
id_2031,39
id_2032,39
id_2033,34
id_2034,20
id_2035,9
id_2036,1
id_2037,9
id_2038,9
id_2039,14
id_2040,6
id_2041,3
id_2042,0
id_2043,6
id_2044,17
id_2045,34
id_2046,35
id_2047,31
id_2048,17
id_2049,19
id_2050,14
id_2051,12
id_2052,4
id_2053,9
id_2054,11
id_2055,9
id_2056,2
id_2057,0
id_2058,0
id_2059,2
id_2060,11
id_2061,13
id_2062,9
id_2063,2
id_2064,0
id_2065,0
id_2066,0
id_2067,6
id_2068,10
id_2069,10
id_2070,9
id_2071,7
id_2072,19
id_2073,27
id_2074,37
id_2075,26
id_2076,12
id_2077,9
id_2078,17
id_2079,17
id_2080,8
id_2081,0
id_2082,0
id_2083,0
id_2084,9
id_2085,7
id_2086,9
id_2087,0
id_2088,0
id_2089,3
id_2090,3
id_2091,3
id_2092,0
id_2093,8
id_2094,16
id_2095,23
id_2096,16
id_2097,11
id_2098,6
id_2099,8
id_2100,6
id_2101,8
id_2102,9
id_2103,8
id_2104,9
id_2105,6
id_2106,6
id_2107,1
id_2108,4
id_2109,4
id_2110,1
id_2111,0
id_2112,0
id_2113,-1
id_2114,-1
id_2115,4
id_2116,7
id_2117,7
id_2118,4
id_2119,5
id_2120,14
id_2121,14
id_2122,7
id_2123,0
id_2124,6
id_2125,6
id_2126,6
id_2127,0
id_2128,0
id_2129,2
id_2130,9
id_2131,8
id_2132,6
id_2133,0
id_2134,6
id_2135,15
id_2136,16
